,image,labelname,labelnumber,pct,filename
62,cards\Rorschach_blot_07.jpg,necklace,2,14.19,densenet201
63,cards\Rorschach_blot_07.jpg,cuirass,3,3.62,densenet201
64,cards\Rorschach_blot_07.jpg,wig,4,3.51,densenet201
65,cards\Rorschach_blot_07.jpg,missile,5,3.41,densenet201
66,cards\Rorschach_blot_07.jpg,space_shuttle,6,2.11,densenet201
67,cards\Rorschach_blot_07.jpg,warplane,7,1.49,densenet201
68,cards\Rorschach_blot_07.jpg,feather_boa,8,1.27,densenet201
69,cards\Rorschach_blot_07.jpg,knee_pad,9,1.15,densenet201
70,cards\Rorschach_blot_08.jpg,spoonbill,0,51.08,densenet201
71,cards\Rorschach_blot_08.jpg,parachute,1,12.0,densenet201
72,cards\Rorschach_blot_08.jpg,cliff,2,6.71,densenet201
73,cards\Rorschach_blot_08.jpg,alp,3,2.45,densenet201
74,cards\Rorschach_blot_08.jpg,ant,4,2.29,densenet201
75,cards\Rorschach_blot_08.jpg,airship,5,2.25,densenet201
76,cards\Rorschach_blot_08.jpg,handkerchief,6,1.75,densenet201
77,cards\Rorschach_blot_08.jpg,balloon,7,1.54,densenet201
78,cards\Rorschach_blot_08.jpg,hip,8,1.36,densenet201
79,cards\Rorschach_blot_08.jpg,fountain,9,0.93,densenet201
80,cards\Rorschach_blot_09.jpg,parachute,0,26.86,densenet201
81,cards\Rorschach_blot_09.jpg,goblet,1,22.93,densenet201
82,cards\Rorschach_blot_09.jpg,fountain,2,16.94,densenet201
83,cards\Rorschach_blot_09.jpg,trifle,3,9.01,densenet201
84,cards\Rorschach_blot_09.jpg,vase,4,6.73,densenet201
85,cards\Rorschach_blot_09.jpg,table_lamp,5,1.99,densenet201
86,cards\Rorschach_blot_09.jpg,candle,6,1.55,densenet201
87,cards\Rorschach_blot_09.jpg,balloon,7,1.55,densenet201
88,cards\Rorschach_blot_09.jpg,perfume,8,0.95,densenet201
89,cards\Rorschach_blot_09.jpg,hummingbird,9,0.92,densenet201
90,cards\Rorschach_blot_10.jpg,tray,0,45.18,densenet201
91,cards\Rorschach_blot_10.jpg,vase,1,14.66,densenet201
92,cards\Rorschach_blot_10.jpg,book_jacket,2,9.69,densenet201
93,cards\Rorschach_blot_10.jpg,space_shuttle,3,8.25,densenet201
94,cards\Rorschach_blot_10.jpg,birdhouse,4,5.01,densenet201
95,cards\Rorschach_blot_10.jpg,hip,5,4.03,densenet201
96,cards\Rorschach_blot_10.jpg,candle,6,2.64,densenet201
